"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"80",660620,"Araúz, Jonathan",2020,"335","23.9","0.250","0.069","0.340","0.319","0.291","0.325","0.292","18","72","85.6","9.4","2187","89.1","89.29","17","68","12","0.2","6.40","110","150","119","148","284","314","296"
"78",519048,"Moreland, Mitch",2020,"299","26.1","0.328","0.418","0.341","0.746","0.479","0.394","0.246","22","67","89.3","14.0","2170","88.7","88.96","15","64","14","0.3","6.39","115","162","139","146","284","322","304"
"75",660620,"Araúz, Jonathan",2021,"321","23.4","0.185","0.185","0.191","0.369","0.282","0.270","0.197","12","65","82.6","15.9","2142","87.4","87.51","11","63","12","0.1","6.36","112","153","116","149","280","313","298"
"73",624407,"Lin, Tzu-Wei",2018,"297","24.6","0.246","0.169","0.319","0.415","0.324","0.327","0.261","16","65","88.1","13.1","2188","88.7","88.29","13","61","12","-0.4","6.03","115","148","110","148","269","307","300"
"64",578428,"Iglesias, José",2021,"253","25.3","0.356","0.153","0.408","0.508","0.394","0.282","0.242","21","59","82.0","14.3","2195","89.5","89.66","8","58","6","0.2","6.34","110","151","114","147","288","315","287"
"57",491676,"Hernández, Gorkys",2019,"238","23.9","0.143","0.102","0.194","0.245","0.204","0.274","0.210","7","49","79.2","11.5","2270","88.8","88.42","12","50","7","-0.4","6.04","104","150","113","146","291","321","292"
"57",624407,"Lin, Tzu-Wei",2020,"221","25.8","0.154","0.019","0.222","0.173","0.160","0.198","0.182","8","52","82.2","12.0","2141","88.7","88.95","13","51","6","0.2","6.41","110","146","112","147","277","312","304"
"54",624414,"Arroyo, Christian",2020,"195","27.7","0.240","0.200","0.250","0.440","0.315","0.300","0.224","12","50","89.9","7.8","2234","90.6","90.81","8","47","7","0.2","6.46","106","150","119","148","304","323","289"
"52",643217,"Benintendi, Andrew",2020,"229","22.7","0.103","0.026","0.182","0.128","0.241","0.278","0.121","4","39","80.4","3.8","2100","89.3","89.62","14","37","15","0.3","6.40","113","149","129","146","278","311","301"
"51",572008,"Owings, Chris",2019,"204","25.0","0.156","0.111","0.286","0.267","0.235","0.269","0.176","7","45","87.5","4.1","2220","88.2","87.85","17","39","12","-0.3","5.97","107","152","114","148","291","322","289"
